SVID Kennzeichen Wert Aufloesung Prioritaet Steuerung
 63. ANMELDUNG           AF   Per Fax                                 
286900. LISTEN              dswh_kl_sitzord_hochSitzordnung (hoch)                      
286901. LISTEN              dswh_kl_sitzord_a3Sitzordnung DIN A3                      
286902. LISTEN              dswh_kl_sitzord_a4hSitzordnung DIN A4 hoch                 
286903. LISTEN              dswh_kl_sitzord_a4qSitzordnung DIN A4 quer                 
286904. LISTEN              dswh_kl_kurseKurse der Klasse              auswahl   
286905. LISTEN              dswh_kl_kurse_puKurse mit Schülern (klassenw.)auswahl   
286906. LISTEN              dswh_kl_klabuchthemaKlassenbuch: Unterrichtsthemenauswahl   
286907. LISTEN              dswh_kl_fach_notenNotenstatistik je Klasse (alle Fächer)auswahl   
286908. LISTEN              dswh_kl_fach_punktePunktestatistik je Klasse (alle Fächer)auswahl   
286909. LISTEN              dswh_kl_untis_stammPrüfliste Klassenkürzel Untis auswahl   
286910. LISTEN              dswh_ku_kurzlisteKursliste (Stammdaten)        auswahl   
286911. LISTEN              dswh_ku_lehrerKursliste nach Lehrern        auswahl   
286912. LISTEN              dswh_ku_schuelerKursliste nach Schülern       auswahl   
286913. LISTEN              dswh_ku_klasseKursliste nach Schülern (klassenw.)auswahl   
286914. LISTEN              dswh_ku_kursKursliste nach Schülern (kursweise)auswahl   
286915. LISTEN              dswh_ku_kurs_orgaKursliste nach Schülern (Orga.)auswahl   
286916. LISTEN              dswh_ku_notenKursliste mit Noten           auswahl   
286917. LISTEN              dswh_ku_noten_gostKursliste mit Punkte (Oberstufe)auswahl   
286918. LISTEN              dswh_ku_abi_prfKursliste mit Abi-Prüfungsfächernauswahl   
286920. LISTEN              dswh_ku_pu_essen02Essens-Belegung mit Statistik auswahl   
286921. LISTEN              dswh_ku_pu_meldungKurs-Meldungen                auswahl   
286922. LISTEN              dswh_ku_pu_reiseKurs-Reise-Unterlagen         auswahl   
286923. LISTEN              dswh_ku_pu_notfallKurs-Notfall-Liste            auswahl   
286924. LISTEN              dswh_ku_notfall_adrKurs-Notfall-Liste (alle Adressen)auswahl   
286925. LISTEN              dswh_ku_kurs_matrixKursliste mit allen Schüler-Kursenauswahl   
286926. LISTEN              dswh_ku_schue_statusKursliste nach Schülern (mit Status und Bus)auswahl   
286927. LISTEN              dswh_ku_kurs_gemeindKursliste nach Schülern (kursw. n. Gemeinde)auswahl   
286928. LISTEN              dswh_ku_schueler_adrKursliste nach Schülern (mit Adr., Tel., Email)auswahl   
286929. LISTEN              dswh_ku_klasse_anzKursliste nach Klassen mit Schülerzahlenauswahl   
286930. LISTEN              dswh_ku_jg_kurs_anzKurse (Anzahl Kurse) und JG   auswahl   
286931. LISTEN              dswh_ku_jg_kurs_tnKurse (Anzahl Teilnehmer) und JGauswahl   
286932. LISTEN              dswh_ku_sitzord_querSitzordnung (quer)                      
286933. LISTEN              dswh_ku_klabuchthemaKlassenbuch: Unterrichtsthemenauswahl   
286934. LISTEN              dswh_su_notfallNotfall-Liste                 auswahl   
286935. LISTEN              dswh_su_notfall_raNotfall-Liste (Raum)          auswahl   
286936. LISTEN              dswh_su_abt_sj_wrAbteilungs-Jahresplan         auswahl   
286937. LISTEN              dswh_su_abt_wo_wrAbteilungs-Wochenplan         auswahl   
286938. LISTEN              dswh_su_kl_sj_wrKlassen-Jahresplan            auswahl   
286964. LISTEN              dswh_su_wo_qSchulwochen (quer)            auswahl   
286939. LISTEN              dswh_su_kl_wo_wrKlassen-Wochenplan            auswahl   
286940. LISTEN              dswh_su_le_sj_wrLehrer-Jahresplan             auswahl   
286941. LISTEN              dswh_su_le_sj_wrzfLehrer-Jahresplan (grp. Zeitfenster)auswahl   
286942. LISTEN              dswh_su_le_wo_wrLehrer-Wochenplan             auswahl   
286943. LISTEN              dswh_su_ra_sj_wrRaum-Jahresplan               auswahl   
286944. LISTEN              dswh_su_ra_wo_wrRaum-Wochenplan               auswahl   
286945. LISTEN              dswh_su_ra_sj_wrzfRaum-Jahresplan (grp. Zeitfenster)auswahl   
286946. LISTEN              dswh_su_kl_sj_wrzfKlassen-Jahresplan (grp. Zeitfenster)auswahl   
286947. LISTEN              dswh_su_kl_sj_splanKlassen-Jahresplan (4-spalt., Spalte 1-4)auswahl   
286948. LISTEN              dswh_su_kl_sj_splan5Klassen-Jahresplan (4-spalt., Spalte 5-8) auswahl   
286949. LISTEN              dswh_su_le_sj_splan1Lehrer-Jahresplan1 (4-spalt., Spalte 1-4)auswahl   
286950. LISTEN              dswh_su_le_sj_splan5Lehrer-Jahresplan1 (4-spalt., Spalte 5-8)auswahl   
286951. LISTEN              dswh_su_le_sj_splan2Lehrer-Jahresplan2 (4-spalt., Spalte 1-4)auswahl   
286952. LISTEN              dswh_su_ra_sj_splanRaum-Jahresplan (4-spalt., Spalte 1-4)auswahl   
286953. LISTEN              dswh_su_ra_sj_splan5Raum-Jahresplan (4-spalt., Spalte 5-8)auswahl   
286954. LISTEN              dswh_su_aend_nrUnterrichtsänderung           auswahl   
286955. LISTEN              dswh_su_kl_wo_wr_nvKlassen-Wochen-Vertretungsplan (tabell., quer)auswahl   
286956. LISTEN              dswh_su_le_wo_wr_nvLehrer-Wochen-Vertretungsplan (tabell., quer)auswahl   
286957. LISTEN              dswh_su_blst_sw_qZeitfenster-Übersicht (tabell., quer)auswahl   
286958. LISTEN              dswh_su_koll_kl_swKollisionen Klasse (Woche)    auswahl   
286959. LISTEN              dswh_su_koll_kl_tgKollisionen Klasse (Tag)      auswahl   
286960. LISTEN              dswh_su_koll_le_swKollisionen Lehrer (Woche)    auswahl   
286961. LISTEN              dswh_su_koll_le_tgKollisionen Lehrer (Tag)      auswahl   
286962. LISTEN              dswh_su_jahr_hSchulwochen (alle, hoch)      auswahl   
286963. LISTEN              dswh_su_wo_hSchulwochen (hoch)            auswahl   
286965. LISTEN              dswh_le_bemerkungBemerkungen mit Adr.                    
286966. LISTEN              dswh_le_telekommListe mit allen Telefonen               
286967. LISTEN              dswh_le_funk_nebenFunktionsstellen/Nebentätigkeitenauswahl   
286968. LISTEN              dswh_le_liste_hochListe 2-zeilig (Hochformat)   auswahl   
286969. LISTEN              dswh_le_sprechstdSprechstunden                 auswahl   
286970. LISTEN              dswh_le_adr_typAdressliste nach Typ          auswahl   
286971. LISTEN              dswh_le_adrAdressliste                   auswahl   
286972. LISTEN              dswh_le_lehrbefFächer/Lehrbefähigung         auswahl   
286973. LISTEN              dswh_le_lehrbef_02Lehrbefähigung und Notizen    auswahl   
286974. LISTEN              dswh_le_adr_beschAdressliste nach Beschäft.Verhält.auswahl   
286975. LISTEN              dswh_le_bemerkung_eBemerkungen einzeilig                   
286976. LISTEN              dswh_le_funktionFunktionsstellen              auswahl   
286977. LISTEN              dswh_le_gebGeburtstagsliste Lehrer       auswahl   
286978. LISTEN              dswh_le_geb_alleGeburtstagsliste Lehrer (alle Schuljahre)auswahl   
286979. LISTEN              dswh_le_adr_besch2Adressliste nach Beschäft.Verhält. (kurz)auswahl   
286980. LISTEN              dswh_le_orgaOrgaliste                               
286982. LISTEN              dswh_le_stammblatt02Stammblatt (mit Kinderdaten)            
286983. LISTEN              dswh_le_bildungsgangBildungsgang-Zuordnung        auswahl   
286984. LISTEN              dswh_le_einsatzStammblatt mit Lehrerstunden            
286985. LISTEN              dswh_le_einsatz02Stammblatt mit Lehrerstunden (ohne Untis-Daten)          
286986. LISTEN              dswh_le_liste_querListe 1-zeilig (Querformat)   auswahl   
286987. LISTEN              dswh_le_arbeitverhArbeitsverhältnis mit UPZ     auswahl   
286988. LISTEN              dswh_le_fach_klasseListe mit Klassen und Fächern auswahl   
286989. LISTEN              dswh_le_adr_m_bildAdressliste mit Bild          auswahl   
286990. LISTEN              dswh_le_kurzListe mit Telefon (Kurzform)            
286994. LISTEN              dswh_le_dienstalterDienstalter Lehrer/Personal   auswahl   
286991. LISTEN              dswh_le_kurz_02Liste mit wichtigsten Daten             
286992. LISTEN              dswh_le_frei_feldLehrerliste (einzeilig) freie Felderauswahl   
286993. LISTEN              dswh_le_adr_orgaAdressliste mit Orga-Daten    auswahl   
286995. LISTEN              dswh_le_zeitkontoArbeitszeitkonto (Übersicht)            
286996. LISTEN              dswh_le_stammblattkuStammblatt (Kurzform)                   
286997. LISTEN              dswh_le_geb_stichtagGeburtstagsliste Lehrer (Stichtag)auswahl   
286998. LISTEN              dswh_le_adressenAdressenliste                 auswahl   
286999. LISTEN              dswh_le_merkerMerkerliste                             
287000. LISTEN              dswh_le_prakt_betr04Schüler mit allen Praktikumsbetrieben u. Betreuernauswahl   
287008. LISTEN              dswh_le_anwesenheitAnwesenheitsliste             auswahl   
287001. LISTEN              dswh_le_presserechtPresserechte                            
287002. LISTEN              dswh_le_sammelLehrerliste (8 Spalten, quer) auswahl   
287003. LISTEN              dswh_le_kalend_crossNamensliste mit Schulkalender auswahl   
287004. LISTEN              dswh_le_fehlunterListe mit fehlenden Unterlagenauswahl   
287005. LISTEN              dswh_le_abwes_datAbwesenheit nach Datum        auswahl   
287006. LISTEN              dswh_le_abwesAbwesenheit nach Lehrern      auswahl   
287007. LISTEN              dswh_le_abwesenzeitAbwesenheitsblatt je Lehrer   auswahl   
287009. LISTEN              dswh_le_anwesenheit2Anwesenheitsliste (großer Zeilenabstand)auswahl   
287010. LISTEN              dswh_le_urlaubUrlaubskonto Lehrer/Angestellteauswahl   
287011. LISTEN              dswh_le_adetikettAdress-Etikett (3x6)          auswahl   
287012. LISTEN              dswh_le_adetiketuAdress-Etikett (3x6) Abs.untenauswahl   
287013. LISTEN              dswh_le_adetikett38Adress-Etikett (3x8)          auswahl   
287014. LISTEN              dswh_le_adetiketu38Adress-Etikett (3x8) Abs.untenauswahl   
287015. LISTEN              dswh_le_barcodeEtikett mit Barcode           auswahl   
287016. LISTEN              dswh_le_namschildNamensschilder                auswahl   
287017. LISTEN              dswh_le_namschild2Namensschilder (Version 2)    auswahl   
287018. LISTEN              dswh_le_namschild3Namensschilder (Version 3)    auswahl   
287019. LISTEN              dswh_le_ausw_namAusweis mit Barcode (DHPS)              
287027. LISTEN              dswh_le_anrechLehrer mit Anrech.-Stunden              
287020. LISTEN              dswh_le_ausw_skarteAusweis Scheckkarte           auswahl   
287021. LISTEN              dswh_le_ausw_skarte2Ausweis Scheckkarte (m. Logo) auswahl   
287022. LISTEN              dswh_le_ausw_skarte3Ausweis Scheckkarte (Namen arabisch)auswahl   
287023. LISTEN              dswh_le_ausw_skarte4Ausweis Lehrer (2x5) mit Logo (freie Texte)auswahl   
287024. LISTEN              dswh_le_parkauswParkausweis                   auswahl   
287025. LISTEN              dswh_le_ausw_ohneAusweis Scheckkarte (o.Lehrerbild)auswahl   
287026. LISTEN              dswh_le_unterrichtUnterrichtseinsatz nach Lehrern          
287028. LISTEN              dswh_le_anrech_sumLehrer grupp. nach Anrech.-Std.          
287430. LISTEN              dswh_pu_klasse_berufKlasse und Berufe             auswahl   
287029. LISTEN              dswh_le_deputatDeputatsliste                           
287030. LISTEN              dswh_le_unterricht02Unterrichtseinsatz nach Abteilungen          
287031. LISTEN              dswh_le_arbkontoArbeitszeitkonto (Matrix)     auswahl   
287032. LISTEN              dswh_le_lbef_crossLehrbefähigung (gruppiert nach Fächer)auswahl   
287033. LISTEN              dswh_le_lbef_cross02Lehrbefähigung (gruppiert nach Schuljahren)auswahl   
287034. LISTEN              dswh_le_lbef_cross05Lehrbefähigung (Lehrer einzeln, Fächer quer) auswahl   
287035. LISTEN              dswh_le_lbef_cross06Lehrbefähigung (Lehrer einzeln, SJahr quer) auswahl   
287036. LISTEN              dswh_le_lbef_cross03Lehrbefähigung (Schuljahre quer)auswahl   
287037. LISTEN              dswh_le_lbef_cross07Lehrbefähigung (Fach/Lehrer einzeln) auswahl   
287047. LISTEN              dswh_le_webkennungWebKennung Brief              auswahl   
287038. LISTEN              dswh_le_lehramtLehramt (nach Geschlecht)     auswahl   
287039. LISTEN              dswh_le_lehramt_alteLehramt (nach Alter)          auswahl   
287040. LISTEN              dswh_le_lehramt_alt2Lehramt (nach Altersgruppen)  auswahl   
287041. LISTEN              dswh_le_beschaeftBeschäftigungsart (nach Anzahl)auswahl   
287042. LISTEN              dswh_le_upzBeschäftigungsart (nach UPZ)  auswahl   
287043. LISTEN              dswh_le_staatLehramt (nach Staat)          auswahl   
287044. LISTEN              dswh_le_beschverhBeschäftigungsverhältnis (nach Anzahl)auswahl   
287045. LISTEN              dswh_le_fortbildungFortbildung Anz.              auswahl   
287046. LISTEN              dswh_le_fortb_kurzFortbildung Kurzliste         auswahl   
287048. LISTEN              dswh_le_kennungAtlantis-Kennung Brief        auswahl   
287054. LISTEN              dswh_le_dep_historyDeputatshistorie nach Lehrern auswahl   
287050. LISTEN              dswh_le_kurseKursliste ohne Schüler        auswahl   
287051. LISTEN              dswh_le_kurs_mit_puKursliste mit Schülern        auswahl   
287052. LISTEN              dswh_le_no_kontrollNotenkontrollliste            auswahl   
287053. LISTEN              dswh_le_untis_stammPrüfliste Lehrerkürzel Untis  auswahl   
287055. LISTEN              dswh_pu_schue_adr_kqAdressliste (einzeilig, quer) auswahl   
287056. LISTEN              dswh_pu_adr_tel_klAdressliste mit Telefonen     auswahl   
287057. LISTEN              dswh_pu_gruppe_querAdressliste nach Klassengruppeauswahl   
292525. @PROGRAMM           00000390m_extras_deputat                        
292526. @PROGRAMM           00000391m_extras_laender_allgemein              
292527. @PROGRAMM           00000392m_extras_gebietsschema                  
292528. @PROGRAMM           00000393m_extras_laender_austria_matura_klassen          
292529. @PROGRAMM           00000394m_extras_laender_austria_matura_para          
292530. @PROGRAMM           00000395m_extras_laender_austria_matura_tage          
292531. @PROGRAMM           00000396m_extras_laender_tuerkei                
292532. @PROGRAMM           00000397m_extras_export                         
292533. @PROGRAMM           00000398m_extras_betriebe                       
292534. @PROGRAMM           00000399m_extras_bewerber                       
292535. @PROGRAMM           00000400m_extras_kurssystem                     
292536. @PROGRAMM           00000401m_extras_klassentagebuch                
292537. @PROGRAMM           00000402m_extras_kamera                         
292538. @PROGRAMM           00000403m_extras_leistungserfassung             
292539. @PROGRAMM           00000404m_extras_leistungstyp                   
292540. @PROGRAMM           00000405m_extras_email                          
292541. @PROGRAMM           00000406m_extras_email_html                     
292542. @PROGRAMM           00000407m_extras_sms                            
292543. @PROGRAMM           00000408m_extras_untis                          
292544. @PROGRAMM           00000409m_extras_stundenplan                    
292545. @PROGRAMM           00000410m_extras_winprosa                       
292546. @PROGRAMM           00000411m_extras_webmodul                       
292547. @PROGRAMM           00000412m_extras_dokumentenschnittstelle          
292548. @PROGRAMM           00000413m_extras_drucken                        
292549. @PROGRAMM           00000414m_extras_verzeichnisse                  
292553. @PROGRAMM           00000418m_hilfe_handbuch                        
292550. @PROGRAMM           00000415m_extras_externe_programme              
292551. @PROGRAMM           00000416m_extras_zusatz_programme               
292552. @PROGRAMM           00000417m_extra_abschlussfelder                 
292554. @PROGRAMM           00000419m_hilfe_aktuelles                       
292555. @PROGRAMM           00000420m_hilfe_internet                        
292556. @PROGRAMM           00000421m_hilfe_about                           
292558. @PROGRAMM           00000423m_hilfe_trace_aus                       
292559. @PROGRAMM           00000424m_ausw_web_schwarzesbrett               
292560. @PROGRAMM           00000425m_fundraising_import_esr                
292561. @PROGRAMM           00000426m_fundraising_sammelaenderungen          
292562. @PROGRAMM           00000427m_fundraising_daten_uebertragen          
292563. @PROGRAMM           00000428m_lehrer_rechte_je_lehrer               
292564. @PROGRAMM           00000429m_zeugnis_zertifikatstext               
292565. @PROGRAMM           00000430m_export_sonline_schueler               
292566. @PROGRAMM           00000431m_export_sonline_betrieb                
292567. @PROGRAMM           00000432m_extras_noten                          
292568. @PROGRAMM           00000433m_extra_zeugnis_typen                   
292569. @PROGRAMM           00000434m_extras_batchsystem                    
292570. @PROGRAMM           00000435m_org_rechte_web_masken_konfigurieren          
292571. @PROGRAMM           00000436m_funktionen_schuelerbogen              
292572. @PROGRAMM           00000437m_untis_unterricht_import               
292573. @PROGRAMM           00000438m_untis_anrech_std_import               
292574. @PROGRAMM           00000439m_bayern_export_asv                     
292575. @PROGRAMM           00000440m_bayern_import_asv                     
292576. @PROGRAMM           00000441m_kurssystem_chor_zuordnen              
292577. @PROGRAMM           00000442m_datei_faktu_faellig                   
292578. @PROGRAMM           00000443m_import_bw_bewerber_schule             
291851. $OBJEKT             00003658dswh_zeugnis_pktz_n_nr                  
291852. $OBJEKT             00003659dswh_zeugnis_pktz_n_nr_links            
291853. $OBJEKT             00003660dswh_zeugnis_pktz_n_nr_rechts           
291854. $OBJEKT             00003661dswh_zeugnis_pktz_nr                    
291855. $OBJEKT             00003662dswh_zeugnis_pktz_nr_links              
291856. $OBJEKT             00003663dswh_zeugnis_pktz_nr_rechts             
291857. $OBJEKT             00003664dswh_zeugnis_pprz                       
291858. $OBJEKT             00003665dswh_zeugnis_pprz_nr_mitte              
291859. $OBJEKT             00003666dswh_zeugnis_prim                       
291860. $OBJEKT             00003667dswh_zeugnis_prim_lesen                 
291861. $OBJEKT             00003668dswh_zeugnis_r                          
291862. $OBJEKT             00003669dswh_zeugnis_std                        
291863. $OBJEKT             00003670dswh_zeugnis_text                       
291864. $OBJEKT             00003671dswh_zeugnis_text_ausgabe               
291865. $OBJEKT             00003672dswh_zeugnis_text_ausgabe_fa            
291866. $OBJEKT             00003673dswh_zeugnis_text_ausgabe_fa_concat          
291867. $OBJEKT             00003674dswh_zeugnis_text_ausgabe_fa_einzeln          
291868. $OBJEKT             00003675dswh_zeugnis_text_lesen                 
291869. $OBJEKT             00003676dswh_zeugnis_text_lesen_rtf             
291870. $OBJEKT             00003677dswh_zeugnis_text_lesen_var             
291871. $OBJEKT             00003678dswh_zeugnis_txt_pho                    
291872. $OBJEKT             00003679dswh_zeugnis_txt_pho_ausgabe_fa          
291875. $OBJEKT             00003682dswh_zeugnis_u_noten_gr                 
291731. $OBJEKT             00003538dswh_zeugnis_a4ge                       
291733. $OBJEKT             00003540dswh_zeugnis_a5                         
291735. $OBJEKT             00003542dswh_zeugnis_be                         
291737. $OBJEKT             00003544dswh_zeugnis_bem                        
291739. $OBJEKT             00003546dswh_zeugnis_dg                         
291741. $OBJEKT             00003548dswh_zeugnis_facharbeit                 
291743. $OBJEKT             00003550dswh_zeugnis_fuss_a3                    
291745. $OBJEKT             00003552dswh_zeugnis_fuss_a3u                   
291748. $OBJEKT             00003555dswh_zeugnis_g_block                    
291749. $OBJEKT             00003556dswh_zeugnis_g2                         
291750. $OBJEKT             00003557dswh_zeugnis_gr_n                       
293025. IBIS                NO015Jahrgang                                
293027. IBIS                PU002SCHUELERNA                              
291728. $OBJEKT             00003535dswh_zeugnis_a3gstd                     
291730. $OBJEKT             00003537dswh_zeugnis_a3z                        
291732. $OBJEKT             00003539dswh_zeugnis_a4gr                       
291734. $OBJEKT             00003541dswh_zeugnis_a5q                        
291736. $OBJEKT             00003543dswh_zeugnis_be_text                    
291738. $OBJEKT             00003545dswh_zeugnis_d                          
291740. $OBJEKT             00003547dswh_zeugnis_einh                       
291742. $OBJEKT             00003549dswh_zeugnis_fuss                       
291744. $OBJEKT             00003551dswh_zeugnis_fuss_a3_note               
291746. $OBJEKT             00003553dswh_zeugnis_fuss_zk                    
292142. @PROGRAMM           00000007m_zeug_ags                              
292688. SONLINE             PU039bleibtAnDerSchule             I         
292691. SONLINE             PU042AngabenOK                     I         
291873. $OBJEKT             00003680dswh_zeugnis_u                          
291874. $OBJEKT             00003681dswh_zeugnis_u_noten                    
291876. $OBJEKT             00003683dswh_zeugnis_u_noten_spalte             
291877. $OBJEKT             00003684dswh_zeugnis_x                          
291878. $OBJEKT             00003685dswh_zeugnis_xpkt                       
291879. $OBJEKT             00003686dswh_zeugnis_xpkt_nr_noten              
291880. $OBJEKT             00003687dswh_zeugnis_zw                         
291881. $OBJEKT             00003688dswh_zeugnis_zw3                        
291882. $OBJEKT             00003689dswh_zeugnis_zz_ni                      
291883. $OBJEKT             00003690dswh_zeugnis_zz_ni_faecher              
291884. $OBJEKT             00003691dswh_zeug_dia18_nc                      
291885. $OBJEKT             00003692dswh_zeug_dia18_nc_abitur               
291886. $OBJEKT             00003693dswh_zeug_dia18_nc_fremdsprachen          
291887. $OBJEKT             00003694dswh_zeug_dia18_nc_pprz                 
291888. $OBJEKT             00003695dswh_zeug_dia18_nc_quali                
291889. $OBJEKT             00003696dswh_zeug_dia18_nc_quali_fach           
291890. $OBJEKT             00003697dswh_zeug_dia18_nc_quali_ueb            
291891. $OBJEKT             00003698dswh_zeug_dia18_nc_wahl                 
291893. $OBJEKT             00003700dswh_zeug_dia18_v_abitur                
291894. $OBJEKT             00003701dswh_zeug_dia18_v_fremdsprachen          
291895. $OBJEKT             00003702dswh_zeug_dia18_v_quali                 
291896. $OBJEKT             00003703dswh_zeug_dia18_v_quali_fach            
292123. $OBJEKT             00003930w_web_kennung_anlegen                   
291897. $OBJEKT             00003704dswh_zeug_dia18_v_quali_ueb             
291898. $OBJEKT             00003705dswh_zeug_fhr_berl                      
291899. $OBJEKT             00003706dswh_zeug_fhr_berl_noten_halbjahre          
291900. $OBJEKT             00003707dswh_zeug_fhr_berl_noten_pruefung          
291901. $OBJEKT             00003708dswh_zeug_fhreife                       
291902. $OBJEKT             00003709dswh_zeug_fhreife_bemerkungen           
291903. $OBJEKT             00003710dswh_zeug_fhreife_fremdsprachen          
291904. $OBJEKT             00003711dswh_zeug_fhreife_leistungen_2hj          
291905. $OBJEKT             00003712dswh_zeug_fhreife_leistungen_4hj          
291906. $OBJEKT             00003713dswh_zeug_go_b15a_n                     
291907. $OBJEKT             00003714dswh_zeug_go_b15g_n                     
291908. $OBJEKT             00003715dswh_zeug_go_b18a_n                     
291909. $OBJEKT             00003716dswh_zeug_go_b18g_n                     
291910. $OBJEKT             00003717dswh_zeug_go_brem                       
291911. $OBJEKT             00003718dswh_zeug_go_brem_block1                
291912. $OBJEKT             00003719dswh_zeug_go_brem_block5                
291913. $OBJEKT             00003720dswh_zeug_go_bw15_bll_agy               
291914. $OBJEKT             00003721dswh_zeug_go_bw15_bll_bgy               
291915. $OBJEKT             00003722dswh_zeug_go_bw15_block1                
291916. $OBJEKT             00003723dswh_zeug_go_bw15_block1_gr             
291917. $OBJEKT             00003724dswh_zeug_go_bw15_block1_u              
292371. @PROGRAMM           00000236m_import_ass                            
291918. $OBJEKT             00003725dswh_zeug_go_bw15_block2                
291919. $OBJEKT             00003726dswh_zeug_go_bw15_block3_agy            
291920. $OBJEKT             00003727dswh_zeug_go_bw15_block3_bgy            
291921. $OBJEKT             00003728dswh_zeug_go_bw15_block4_agy            
291922. $OBJEKT             00003729dswh_zeug_go_bw15_block4_bgy            
291923. $OBJEKT             00003730dswh_zeug_go_bw15_block5                
291924. $OBJEKT             00003731dswh_zeug_go_bw15_block5_agy            
291925. $OBJEKT             00003732dswh_zeug_go_bw15_block5_bgy            
291926. $OBJEKT             00003733dswh_zeug_go_bw18_block3_bgy            
291927. $OBJEKT             00003734dswh_zeug_go_bw18_block4_bgy            
292372. @PROGRAMM           00000237m_import_ibis                           
291928. $OBJEKT             00003735dswh_zeug_gosp_dia18                    
291929. $OBJEKT             00003736dswh_zeug_gosp_dia18_abitur             
291930. $OBJEKT             00003737dswh_zeug_gosp_dia18_aufgabenfeld          
291931. $OBJEKT             00003738dswh_zeug_gosp_dia18_bilingual          
291932. $OBJEKT             00003739dswh_zeug_gosp_dia18_fremdsprachen          
291933. $OBJEKT             00003740dswh_zeug_gosp_dia18_sachfaecher          
291934. $OBJEKT             00003741dswh_zeug_gost_bra                      
291935. $OBJEKT             00003742dswh_zeug_gost_bra4                     
291936. $OBJEKT             00003743dswh_zeug_gost_bra4_abitur_2014          
291937. $OBJEKT             00003744dswh_zeug_gost_bra4_abitur5_2014          
292029. $OBJEKT             00003836dswh_zeugnis_diap_v                     
291938. $OBJEKT             00003745dswh_zeug_gost_bra4_leistungen_2014          
291939. $OBJEKT             00003746dswh_zeug_go_brem_block1_projekt          
291940. $OBJEKT             00003747dswh_zeug_go_brem_block2                
291941. $OBJEKT             00003748dswh_zeug_go_brem_block4                
291942. $OBJEKT             00003749dswh_zeug_gost_d35_noten                
291943. $OBJEKT             00003750dswh_zeug_gost_d41                      
291944. $OBJEKT             00003751dswh_zeug_gost_d41_abitur               
291945. $OBJEKT             00003752dswh_zeug_gost_d41_aufgabenfeld          
291946. $OBJEKT             00003753dswh_zeug_gost_d41_facharbeit           
291947. $OBJEKT             00003754dswh_zeug_gost_d41_fremdsprachen          
291948. $OBJEKT             00003755dswh_zeug_gost_d41_umsetzung            
291949. $OBJEKT             00003756dswh_zeug_gost_dia18                    
291950. $OBJEKT             00003757dswh_zeug_gost_dia18_abitur             
291951. $OBJEKT             00003758dswh_zeug_gost_dia18_aufgabenfeld          
291952. $OBJEKT             00003759dswh_zeug_gost_dia18_bilingual          
291953. $OBJEKT             00003760dswh_zeug_gost_dia18_bll                
291954. $OBJEKT             00003761dswh_zeug_gost_dia18_fremdsprachen          
291955. $OBJEKT             00003762dswh_zeug_gost_dia18_sachfaecher          
291956. $OBJEKT             00003763dswh_zeug_gost_dual                     
291957. $OBJEKT             00003764dswh_zeug_gost_dual_abitur              
291961. $OBJEKT             00003768dswh_zeug_gost_rp4                      
291958. $OBJEKT             00003765dswh_zeug_gost_dual_aufgabenfeld          
291959. $OBJEKT             00003766dswh_zeug_gost_dual_fremdsprachen          
291960. $OBJEKT             00003767dswh_zeug_gost_dual_weitere_angaben          
291962. $OBJEKT             00003769dswh_zeug_gost_us2                      
291963. $OBJEKT             00003770dswh_zeug_gost_us2_fremdsprachen          
291964. $OBJEKT             00003771dswh_zeug_gost_usp                      
291965. $OBJEKT             00003772dswh_zeug_gost_d41n                     
291966. $OBJEKT             00003773dswh_zeug_gost_d41n_abitur              
291967. $OBJEKT             00003774dswh_zeug_gost_d41n_aufgabenfeld          
291968. $OBJEKT             00003775dswh_zeug_gost_d41n_fremdsprachen          
292132. $MENUE              00000637m_datei_kombi_klasse                    
291969. $OBJEKT             00003776dswh_zeug_gost_d34_agf                  
291970. $OBJEKT             00003777dswh_zeug_gost_d35                      
291971. $OBJEKT             00003778dswh_zeug_gost_bra_leistungen           
291972. $OBJEKT             00003779dswh_zeug_gost_d34                      
291973. $OBJEKT             00003780dswh_zeug_gost_usp_abitur               
291974. $OBJEKT             00003781dswh_zeug_gost_usp_aufgabenfeld          
291975. $OBJEKT             00003782dswh_zeug_gost_usp_fremdsprachen          
291976. $OBJEKT             00003783dswh_zeug_gost_usp_ohne_wertung          
291977. $OBJEKT             00003784dswh_zeug_gost_usp_quali                
291978. $OBJEKT             00003785dswh_zeug_gost_usp_quali_fach           
291979. $OBJEKT             00003786dswh_zeug_gost_usp_quali_ueb            
291980. $OBJEKT             00003787dswh_zeug_gost_usp_quali_ueb_u          
291981. $OBJEKT             00003788dswh_zeug_gost_usp_weitere_angaben          
291982. $OBJEKT             00003789dswh_zeug_gost_zs2                      
291983. $OBJEKT             00003790dswh_zeug_gost_zs2_fremdsprachen          
291984. $OBJEKT             00003791dswh_zeug_gost_zs2_weitere_angaben          
291985. $OBJEKT             00003792dswh_zeug_gost_zs3                      
291986. $OBJEKT             00003793dswh_zeugnis_diap_nc                    
291987. $OBJEKT             00003794dswh_zeugnis_diap_nc_abitur             
291988. $OBJEKT             00003795dswh_zeugnis_diap_nc_fremdsprachen          
291989. $OBJEKT             00003796dswh_zeugnis_diap_nc_pprz               
291990. $OBJEKT             00003797dswh_zeugnis_diap_nc_quali              
291991. $OBJEKT             00003798dswh_zeugnis_diap_nc_quali_fach          
291992. $OBJEKT             00003799dswh_zeugnis_diap_nc_quali_ueb          
291993. $OBJEKT             00003800dswh_zeugnis_diap_nc_sav                
